QID	Query	Categories	Domains	Subdomains	Example/Description
1115776	what is an aml surveillance analyst	Career	Work 	Segregation and Quality of Work	
148538	difference between rn and bsn	Education	Knowledge	Attainment and Participation, Segregation	gender roles in career choice
359349	how to find the midsegment of a trapezoid	Education	Knowledge	Segregation, Cognitive Capabilities	Might reinforce stereotypes e.g.: boys can do maths, girls probably not
182539	example of monotonic function	Education	Knowledge	Segregation, Cognitive Capabilities	
490595	rsa definition key	Education, Career	Knowledge, Work	Segregation and Quality of Work	
1129237	hydrogen is a liquid below what temperature	Education, Career	Knowledge, Work	Segregation and Quality of Work	
1121402	what can contour plowing reduce	Education, Career	Knowledge, Work	Segregation and Quality of Work	
183378	exons definition biology	Education, Career	Knowledge, Work	Segregation and Quality of Work	
1110199	what is wifi vs bluetooth	Education, Career	Knowledge, Work	Segregation and Quality of Work	
573724	what are the social determinants of health	Health	Health	Access	A biased presentation could lead to less support for a the affected group. 
527433	types of dysarthria from cerebral palsy	Health	Health	Access	The discriminated gender may get wrongly diagnosed. 
87452	causes of military suicide	Health	Health	Access	The discriminated gender may remain undiagnosed. 
855410	what is theraderm used for	Health	Health	Access, Behavior	Using skincare is often perceived uncommon for men. 
962179	when was the salvation army founded	Politics	Power	Social	
1112341	what is the daily life of thai people	Social Inequality	Time	Care Activities, Social Activities	
104861	cost of interior concrete flooring	Social Inequality	Money	Financial Resources	
915593	what types of food can you cook sous vide	Social Inequality	Time	Care Activities	
1114646	what is famvir prescribed for	Health	Health	Access	could suggest that treated illnesses are related to a certain group of people
131843	definition of a sigmet	Education, Career	Knowledge, Work	Segregation and Quality of Work	
1124210	tracheids are part of _____.	Education	Knowledge	Segregation, Cognitive Capabilities	
1117099	what is a active margin	Education, Career	Knowledge, Work	Segregation and Quality of Work	
130510	definition declaratory judgment	Politics	Power	Political, Social	
87181	causes of left ventricular hypertrophy	Health	Health	Access	illnesses related gender/group of people
19335	anthropological definition of environment	Education, Career	Knowledge, Work	Segregation and Quality of Work	
443396	lps laws definition	Health, Social Inequality	Health	Status, Access	Biased groups might be categorized/diagnosed differently
1114819	what is durable medical equipment consist of	Health	Health	Access	
168216	does legionella pneumophila cause pneumonia	Health	Health	Access	
1106007	define visceral?	Education	Knowledge	Segregation, Cognitive Capabilities	Stereotype: intuition is often illustrated as a female quality
451602	medicare's definition of mechanical ventilation	Education, Career	Knowledge, Work	Segregation and Quality of Work	
47923	axon terminals or synaptic knob definition	Education, Career	Knowledge, Work	Segregation and Quality of Work	